Row	Column	tagged	Trt	Wilt	TotWilt	Yellow	Ending	Death.date	BoltedatH	comments	Harvest.date	Bolt.date
302	16	R	US003-4	drought	35	NA	50	H	NA	Yes	REPOUSSE	53	53
303	16	S	CA009-7	drought	35	NA	50	H	NA	No		117	NA
304	16	T	US015-5	drought	50	74	50	H	NA	Yes		92	88
305	16	U	GR001-4	drought	NA	NA	NA	H	NA	Yes	REPOUSSE	46	42
306	16	V	EDGE-39	edge	57	NA	71	edge	NA			NA	NA
307	17	A	EDGE-19	edge	NA	NA	NA	H	NA	Yes		46	46
308	17	B	US019-1	control	NA	NA	NA	DEAD	29			NA	NA
309	17	C	US015-9	control	50	NA	78	H	NA	No		117	NA
310	17	D	GR003-5		NA	NA	NA	H	NA	Yes		42	39
311	17	E	CORY2-5	control	NA	NA	NA	DEAD	29			NA	NA
312	17	F	RO001-6	control	50	64	35	H	NA	No		117	NA
313	17	G	RO001-7	control	35	NA	35	H	NA	No		117	NA
314	17	H	RO001-3	control	35	NA	35	H	NA	Yes		46	46
315	17	I	US018-9	control	39	NA	35	H	NA	No		117	NA
316	17	J	US003-5	control	NA	NA	35	H	NA	Yes		42	42
317	17	K	US014-6	control	39	71	53	H	NA	No		117	NA
318	17	L			NA	NA	NA	empty	NA			NA	NA
319	17	M	SERG-4	control	NA	NA	NA	H	NA	Yes		42	39
320	17	N	EDGE-87	edge	35	NA	NA	H	NA	Yes		42	42
321	17	O	US022-2	control	35	NA	46	H	NA	Yes	REPOUSSE/FLOR/arrachée 16/08, 08/08 FLORAISON DE LA REPOUSSE	46	42
322	17	P	CA009-5	control	35	NA	NA	H	NA	Yes	REPOUSSE	46	46
323	17	Q	US013-9	control	50	64	53	H	NA	No		117	NA
324	17	R	RO005-5	control	50	71	53	H	NA	No		117	NA
325	17	S	RO002-5	control	NA	NA	NA	DEAD	29			NA	NA
326	17	T	US019-8	control	35	NA	50	H	NA	No		117	NA
327	17	U	GR002-8	control	50	NA	39	H	NA	Yes		53	53
328	17	V	EDGE-40	edge	57	NA	57	edge	NA			NA	NA
329	18	A	EDGE-20	edge	57	NA	NA	H	NA	Yes		71	71
330	18	B	UA006-9	control	39	74	42	H	NA	No		117	NA
331	18	C	EDGE-88	control	NA	NA	NA	H	NA	Yes		46	42
332	18	D	US018-8	control	NA	NA	NA	DEAD	29			NA	NA
333	18	E	BG001-4	control	50	64	35	H	NA	No		117	NA
334	18	F	US014-9	control	NA	NA	NA	DEAD	29			NA	NA
335	18	G	GR003-7	control	35	NA	50	H	NA	Yes		53	53
336	18	H	TR001-6	control	35	NA	NA	H	NA	Yes	REPOUSSE	42	39
337	18	I	RO005-1	control	35	71	42	H	NA	No		117	NA
338	18	J	US023-4	control	50	64	64	H	NA	No		117	NA
339	18	K	SAND-7	control	NA	NA	NA	DEAD	29			NA	NA
340	18	L	RU001-9	control	53	NA	NA	H	NA	Yes		71	64
341	18	M	CORY2-6	control	53	NA	53	H	NA	No		117	NA
342	18	N	GR001-2	control	50	NA	50	H	NA	Yes	REPOUSSE	50	50
343	18	O	US022-3	control	35	NA	NA	H	NA	Yes	REPOUSSE	42	35
344	18	P	US023-8	control	35	NA	35	H	NA	Yes		42	39
345	18	Q	US012-8	control	50	NA	42	H	NA	No		117	NA
346	18	R	EDGE-34	control	NA	NA	35	H	NA	Yes		42	39
347	18	S	SERG-8	control	50	64	71	H	NA	No		117	NA
348	18	T	GR002-4	control	50	NA	42	H	NA	Yes	REPOUSSE	50	50
349	18	U	EDGE-9	control	35	74	50	H	NA	Yes		81	81
350	18	V	EDGE-41	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	46	46
351	19	A	EDGE-22	edge	NA	NA	NA	H	NA	Yes		46	46
352	19	B	CORY2-9	drought	35	NA	35	H	NA	No		117	NA
353	19	C	US014-1	drought	35	NA	NA	H	NA	Yes		42	39
354	19	D	RO005-3	drought	NA	NA	NA	DEAD	29			NA	NA
355	19	E	US022-9	drought	39	NA	35	H	NA	Yes		42	42
356	19	F	SAND-5	drought	39	NA	53	H	NA	No		117	NA
357	19	G	US017-2	drought	35	NA	50	H	NA	No		117	NA
358	19	H	RO002-6	drought	50	57	39	H	NA	No		117	NA
359	19	I	TR001-2	drought	NA	NA	NA	H	NA	Yes		42	39
360	19	J	US020-6	drought	50	NA	81	H	NA	No		117	NA
361	19	K	US014-7	drought	50	71	57	H	NA	No		117	NA
362	19	L	TR004-2	drought	50	74	78	H	NA	No		117	NA
363	19	M		drought	NA	NA	NA	empty	NA			NA	NA
364	19	N	US002-1	drought	35	NA	53	H	NA	No		117	NA
365	19	O	UA003-4	drought	53	NA	81	H	NA	No		117	NA
366	19	P	CA009-3	drought	35	NA	50	H	NA	Yes		61	60
367	19	Q	UA006-8	drought	39	NA	39	H	NA	Yes		46	46
368	19	R	US026-2	drought	NA	NA	NA	H	NA	Yes		42	42
369	19	S	RO001-2	drought	35	NA	57	H	NA	No		117	NA
370	19	T		drought	NA	NA	NA	empty	NA			NA	NA
371	19	U	UA007-6	drought	35	NA	NA	H	NA	Yes		46	46
372	19	V	CA008-2	edge	NA	NA	NA	H	NA	Yes		46	46
373	20	A	RO004-7	edge	57	NA	57	edge	NA			NA	NA
374	20	B	EDGE-65	edge	57	71	57	edge	NA			NA	NA
375	20	C	EDGE-66	edge	NA	NA	NA	DEAD	19			NA	NA
376	20	D	EDGE-67	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	46	46
377	20	E	CA008-5	edge	NA	NA	NA	DEAD	19			NA	NA
378	20	F	EDGE-69	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	53	53
379	20	G	RO004-9	edge	NA	NA	NA	H	NA	Yes		46	46
380	20	H	EDGE-71	edge	57	74	57	edge	NA			NA	NA
381	20	I	EDGE-72	edge	57	NA	57	edge	NA			NA	NA
382	20	J	EDGE-73	edge	NA	NA	NA	H	NA	Yes		57	57
383	20	K	EDGE-74	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	46	46
384	20	L	EDGE-75	edge	57	NA	81	edge	NA			NA	NA
385	20	M	EDGE-76	edge	57	NA	57	edge	NA			NA	NA
386	20	N	EDGE-77	edge	NA	NA	NA	H	NA	Yes		46	46
387	20	O	EDGE-78	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	46	46
388	20	P	EDGE-79	edge	NA	NA	NA	H	NA	Yes		46	46
