Origin	Pop	alt	Latitude	Longitude	PC1	CrossID	Rack	Pos	Barcode	Exp	Trt	CrossNum	Indiv	BoltedatH	ShootMass.g	HarvestDay	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	Mass.log	PC2	PC3	time	m.date	lfl	lfw	lfc
CA001-20-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	22	12	CA001-20-8	ass map	control	20	8	n	3.894	86	7L	7	L	4L	4	L	0	1.35943690695001	-5.95971149091243	1.21481333797062	1	0	11.6	3.7	14
CA001-20-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	17	25	CA001-20-5	ass map	control	20	5	n	4.374	85	7L	7	L	4L	4	L	0	1.47567792225458	-5.95971149091243	1.21481333797062	1	0	12.7	3.6	12
CA001-20-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	18	20	CA001-20-9	ass map	control	20	9	n	3.933	85	7L	7	L	4L	4	L	0	1.36940249344967	-5.95971149091243	1.21481333797062	1	0	11.9	3.6	14
CA001-20-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	22	7	CA001-20-7	ass map	control	20	7	n	3.962	86	7L	7	L	4L	4	L	0	1.37674894827636	-5.95971149091243	1.21481333797062	1	0	12.1	3.5	15
CA001-20-10.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	16	3	CA001-20-10	ass map	control	20	10	n	3.647	80	7L	7	L	4L	4	L	0	1.29390491182654	-5.95971149091243	1.21481333797062	1	0	13.7	3.3	14
CA001-20-12.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	12	15	CA001-20-12	ass map	control	20	12	n	NA	84	7L	7	L	4L	4	L	0	NA	-5.95971149091243	1.21481333797062	1	0	14	3.5	13
CA001-20-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	13	12	CA001-20-11	ass map	control	20	11	n	3.489	86	7L	7	L	4L	4	L	0	1.24961516220464	-5.95971149091243	1.21481333797062	1	0	13.3	3.8	15
CA001-3-14.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	16	34	CA001-3-14	ass map	control	3	14	n	3.334	80	3O	3	O	2M	2	M	0	1.2041727843286	-5.95971149091243	1.21481333797062	1	0	18.1	4.4	12
CA001-3-19.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	18	34	CA001-3-19	ass map	control	3	19	y	3.907	85	3O	3	O	2M	2	M	1	1.36276981607293	-5.95971149091243	1.21481333797062	1	0	15.6	3.9	11
CA001-3-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	12	43	CA001-3-7	ass map	control	3	7	n	3.634	84	3O	3	O	2M	2	M	0	1.29033396997398	-5.95971149091243	1.21481333797062	1	0	18.6	3.7	13
CA001-3-15.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	23	36	CA001-3-15	ass map	control	3	15	n	2.775	85	3O	3	O	2M	2	M	0	1.0206507471984	-5.95971149091243	1.21481333797062	1	0	19	5.5	13
CA001-3-18.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	12	50	CA001-3-18	ass map	control	3	18	n	2.375	84	3O	3	O	2M	2	M	0	0.864997437486605	-5.95971149091243	1.21481333797062	1	0	14.2	3.9	10
CA001-3-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	16	10	CA001-3-6	ass map	control	3	6	y	3.536	80	3O	3	O	2M	2	M	1	1.2629961447754	-5.95971149091243	1.21481333797062	1	0	20	4.4	15
CA001-3-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	22	23	CA001-3-3	ass map	control	3	3	n	4.861	86	3O	3	O	2M	2	M	0	1.58124417806332	-5.95971149091243	1.21481333797062	1	0	19.2	5.4	12
CA001-3-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	20	21	CA001-3-11	ass map	control	3	11	n	3.71	86	3O	3	O	2M	2	M	0	1.31103187661934	-5.95971149091243	1.21481333797062	1	0	20.7	4.2	11
CA001-3-13.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	21	50	CA001-3-13	ass map	control	3	13	n	3.083	86	3O	3	O	2M	2	M	0	1.12590314890401	-5.95971149091243	1.21481333797062	1	0	12.8	2.6	12
CA001-3-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	15	31	CA001-3-2	ass map	control	3	2	n	3.04	86	3O	3	O	2M	2	M	0	1.11185751541813	-5.95971149091243	1.21481333797062	1	0	14.8	5	14
CA001-3-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	18	8	CA001-3-1	ass map	control	3	1	n	3.469	85	3O	3	O	2M	2	M	0	1.24386636798761	-5.95971149091243	1.21481333797062	1	0	21.2	5.3	10
CA001-3-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	9	32	CA001-3-5	mat fx	drought	3	5	NA	NA	NA	3O	3	O	2M	2	M	NA	NA	-5.95971149091243	1.21481333797062	1	0	15.1	4.5	13
CA001-3-12.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	13	20	CA001-3-12	ass map	control	3	12	n	3.72	86	3O	3	O	2M	2	M	0	1.31372366828506	-5.95971149091243	1.21481333797062	1	0	14.7	4.4	14
CA001-3-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	14	8	CA001-3-9	ass map	control	3	9	n	2.189	84	3O	3	O	2M	2	M	0	0.783444818540726	-5.95971149091243	1.21481333797062	1	0	17	3.6	12
CA001-3-17.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	15	3	CA001-3-17	ass map	control	3	17	n	3.779	86	3O	3	O	2M	2	M	0	1.32945942436735	-5.95971149091243	1.21481333797062	1	0	17.9	5	10
CA001-3-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	14	45	CA001-3-8	ass map	control	3	8	n	2.954	84	3O	3	O	2M	2	M	0	1.08316018410919	-5.95971149091243	1.21481333797062	1	0	19	4.1	11
CA001-3-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-3	21	21	CA001-3-4	ass map	control	3	4	n	3.466	86	3O	3	O	2M	2	M	0	1.24300119129341	-5.95971149091243	1.21481333797062	1	0	20.5	5.2	14
CA001-4-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-4	9	34	CA001-4-3	mat fx	drought	4	3	NA	NA	NA	3O	3	O	2N	2	N	NA	NA	-5.95971149091243	1.21481333797062	1	0	17.9	4	25
