Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
RO002-1	3	B	control	RO001	25	nat		Tuesday, September 06, 2011	No	NA	54	50	0.21205125	27	6	27.1	82	NA	3.98898404656427	3.91202300542815	-1.55092728824279	3.29583686600433	1.79175946922805	3.29953372788566	4.40671924726425	-0.507860115988952
RO002-3	4	O	control	BG001	5	nat		Tuesday, September 06, 2011	No	NA	45	44	0.15550425	24	7	15.1	28	NA	3.80666248977032	3.78418963391826	-1.86108221654663	3.17805383034795	1.94591014905531	2.71469474382088	3.3322045101752	0.557017410470707
RO002-6	19	H	drought	CA009	72	inv		Tuesday, September 06, 2011	No	NA	52	51	0.20828145	27	7	27.8	76	NA	3.95124371858143	3.93182563272433	-1.56886498892946	3.29583686600433	1.94591014905531	3.32503602069659	4.33073334028633	-0.619728644754178
RO002-7	15	K	drought	RO001	25	nat		Tuesday, September 06, 2011	No	NA	57	50	0.223831875	27	6	23.3	44	NA	4.04305126783455	3.91202300542815	-1.49686006697251	3.29583686600433	1.79175946922805	3.14845336057165	3.78418963391826	-0.538013748075146
RO002-8	3	H	control	RO001	25	nat		Tuesday, September 06, 2011	No	NA	61	49	0.234748588	32	5	25.4	62	NA	4.11087386417331	3.89182029811063	-1.44924017582133	3.46573590279973	1.6094379124341	3.23474917402449	4.12713438504509	-0.771647292020385
RO003-1	14	G	control	BG001	5	nat		Tuesday, September 06, 2011	No	NA	38	38	0.11340815	19	4	19.2	26	NA	3.63758615972639	3.63758615972639	-2.17676202078244	2.94443897916644	1.38629436111989	2.95491027903374	3.25809653802148	1.93493899903452
RO003-2	12	B	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	61	50	0.239539375	30	6	21.1	56	NA	4.11087386417331	3.91202300542815	-1.42903747063375	3.40119738166216	1.79175946922805	3.04927304048202	4.02535169073515	-0.77702167684292
RO003-5	10	K	control	BG001	5	nat		Tuesday, September 06, 2011	No	NA	59	54	0.250220475	28	4.5	14.5	40	NA	4.07753744390572	3.98898404656427	-1.38541284976521	3.3322045101752	1.50407739677627	2.67414864942653	3.68887945411394	-0.276238613749541
RO003-6	2	P	control	BG001	5	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	14	36	34.5	0.097543575	19	5.5	11.9	6	57	3.58351893845611	3.54095932403731	-2.32745607774178	2.94443897916644	1.70474809223843	2.47653840011748	1.79175946922805	2.26502116442287
RO003-9	3	K	control	BG001	5	nat		Tuesday, September 06, 2011	No	NA	34	31	0.082778525	14	2.5	15	16	NA	3.52636052461616	3.43398720448515	-2.4915866111339	2.63905732961526	0.916290731874155	2.70805020110221	2.77258872223978	3.61804099766427
RO005-1	18	I	control	RO005	18	nat		Tuesday, September 06, 2011	No	NA	49	40	0.1539335	23	5.5	37.4	54	NA	3.89182029811063	3.68887945411394	-1.87123458801065	3.13549421592915	1.70474809223843	3.62167070442049	3.98898404656427	0.286443388525769
RO005-2	13	P	control	RO005	29	nat		Tuesday, September 06, 2011	No	NA	56	52	0.2287012	28	5	26.5	74	NA	4.02535169073515	3.95124371858143	-1.47533893091863	3.3322045101752	1.6094379124341	3.27714473299218	4.30406509320417	-0.543836566054911
RO005-5	17	R	control	RO005	18	nat		Tuesday, September 06, 2011	No	NA	56	55	0.2418955	29	5.5	27.3	72	NA	4.02535169073515	4.00733318523247	-1.41924946426759	3.36729582998647	1.70474809223843	3.30688670219091	4.27666611901606	-0.815511395437097
RO005-7	4	N	control	RO005	20	nat		Tuesday, September 06, 2011	No	NA	63	52	0.25728885	33	5.5	37.4	86	NA	4.14313472639153	3.95124371858143	-1.35755589526225	3.49650756146648	1.70474809223843	3.62167070442049	4.45434729625351	-1.33669833765958
RU001-1	9	U	control	BG001	2	nat		Tuesday, September 06, 2011	No	NA	80	65	0.408395	40	8	42.2	168	NA	4.38202663467388	4.17438726989564	-0.89552043566569	3.68887945411394	2.07944154167984	3.74242022104197	5.12396397940326	-3.03055325229202
RU001-2	16	I	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	35	29	0.079715563	18	4	13.4	8	NA	3.55534806148941	3.36729582998647	-2.52929044248702	2.89037175789616	1.38629436111989	2.59525470695687	2.07944154167984	2.98660747353678
RU001-4	12	D	drought	HU001	1	nat		Tuesday, September 06, 2011	No	NA	110	95	0.820716875	52	11	51	NA	NA	4.70048036579242	4.55387689160054	-0.197577082842252	3.95124371858143	2.39789527279837	3.93182563272433	NA	-5.32233057705148
RU001-5	2	E	control	CA010	1	inv	Friday, July 08, 2011	Friday, July 08, 2011	Yes	5.5	47	45	0.166106813	24	7	9.5	10	37	3.85014760171006	3.80666248977032	-1.79512424574472	3.17805383034795	1.94591014905531	2.2512917986065	2.30258509299405	0.695091661342986
RU001-7	3	M	control	HU001	4	nat		Tuesday, September 06, 2011	No	NA	42	40	0.131943	19	5	19.2	36	NA	3.73766961828337	3.68887945411394	-2.0253852678379	2.94443897916644	1.6094379124341	2.95491027903374	3.58351893845611	1.39654609160706
RU001-9	18	L	control	CA010	1	inv	Friday, July 15, 2011	Friday, July 22, 2011	Yes	26	46	44	0.1589599	22	6	13.5	22	50	3.8286413964891	3.78418963391826	-1.83910330982785	3.09104245335832	1.79175946922805	2.60268968544438	3.09104245335832	0.836405788648963
RU008-1	15	B	drought	RU008	7	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	9.5	47	46	0.169798075	24	5	13.06	10.2	41	3.85014760171006	3.8286413964891	-1.77314534203606	3.17805383034795	1.6094379124341	2.56955412384829	2.32238772029023	0.759681886471023
RU008-2	12	H	drought	RU008	3	nat	Friday, July 22, 2011	Friday, July 22, 2011	Yes	39.5	57	56	0.2506917	29	7	21.5	54	155	4.04305126783455	4.02535169073515	-1.38353138166551	3.36729582998647	1.94591014905531	3.06805293513362	3.98898404656427	-0.966587675926065
