"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1041357140" "1041357140" 39.82732 -104.84098 "inv" 1986 "US" 2357 49 147 -41 464 62 15 41 172 55 170 55 172 44 7354 254 -130 384 124 -41 -2.11747163219061 2.5729658374895 -2.29316792751025
"1041359104" "1041359104" 39.71404 -104.80303 "inv" 1991 "US" 1679 98 209 -4 410 69 13 50 175 42 150 42 155 39 8346 308 -89 397 183 -4 -2.77396999666719 1.4701601147783 0.818886802736155
"1041359484" "1041359484" 40.35681 -105.59448 "inv" 1991 "US" 432 109 206 18 449 58 12 39 171 50 57 154 128 37 7316 311 -32 343 23 201 -2.48721538200437 -0.673199175528606 1.73317671726321
"1041359776" "1041359776" 39.76994 -105.35325 "inv" 1995 "US" 362 102 195 12 300 51 6 58 145 27 29 131 136 40 7127 301 -39 340 17 191 -3.30510629922478 -0.505923803279434 1.49333975792004
"1041365556" "1041365556" 40.98352 -105.40019 "inv" 2000 "US" 1422 69 196 -55 348 65 9 60 165 31 131 31 155 35 9670 307 -134 441 166 -55 -3.17310070035978 3.27540113221186 -0.379991922819157
"1041369992" "1041369992" 39.75659 -104.85655 "inv" 2008 "US" 1892 54 174 -58 332 56 14 46 143 43 96 43 153 36 9014 283 -139 422 93 -58 -2.81738796864305 3.59153015066965 -1.36917034035115
"1041371584" "1041371584" 39.54385 -105.27328 "inv" 2004 "US" 1493 93 207 -17 354 62 8 56 157 27 128 27 162 39 8698 309 -106 415 183 -17 -3.36373909609154 2.03942258046419 0.703328721240357
"1041371994" "1041371994" 39.47672 -104.92311 "inv" 1961 "US" 1517 91 205 -17 357 63 8 57 159 27 130 27 161 39 8632 307 -105 412 181 -17 -3.31427722492153 2.00279286081663 0.608441976530078
"1041374251" "1041374251" 39.93158 -104.87229 "inv" 1976 "US" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22 -2.99163806210698 1.7050322533815 0.929101044849315
"1041374873" "1041374873" 39.405 -104.9972 "inv" 1943 "US" 1321 83 185 -10 251 29 9 26 78 40 50 65 171 43 7581 313 -83 396 115 178 -3.71790696472863 1.68844787836925 1.0027171683249
