Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
GR001-7	15	C	drought	GR001	2	nat	7	7.5	1.5	5/24/2011	black	2.01490302054226	0.405465108108164	2.64575131106459	-0.0848518409937905
GR001-8	5	D	drought	GR001	15	nat	7	10.2	2.6	5/24/2011	black	2.32238772029023	0.955511445027436	2.64575131106459	-1.22640433776834
GR001-9	14	E	control	GR001	25	nat	10	5.4	1.7	5/26/2011	black	1.68639895357023	0.53062825106217	3.16227766016838	-0.171524196005284
GR002-2	12	M	drought	GR002	21	nat	3	1.4	0.3	5/24/2011	black	0.336472236621213	-1.20397280432594	1.73205080756888	5.11596596977339
GR002-4	18	T	control	GR002	12	nat	8	8.4	1.7	5/26/2011	black	2.12823170584927	0.53062825106217	2.82842712474619	-0.552547626772679
GR002-7	3	Q	control	GR002	27	nat	10	5.7	1	5/25/2011	black	1.7404661748405	0	3.16227766016838	0.417532385616838
GR002-8	17	U	control	GR002	27	nat	6	5.8	0.8	5/26/2011	black	1.75785791755237	-0.22314355131421	2.44948974278318	1.2372988387267
GR002-9	15	O	drought	GR002	27	nat	11	9	3.2	5/30/2011	black	2.19722457733622	1.16315080980568	3.3166247903554	-1.83607137423493
GR003-1	4	I	control	GR003	28	nat	5	2.6	1.8	5/24/2011	black	0.955511445027436	0.587786664902119	2.23606797749979	1.55717690513516
GR003-7	18	G	control	GR003	27	nat	12	4.8	1.5	5/26/2011	black	1.56861591791385	0.405465108108164	3.46410161513775	-0.0808547681935234
HU001-1	10	S	control	HU001	3	nat	5	2.8	1.8	5/25/2011	black	1.02961941718116	0.587786664902119	2.23606797749979	1.44894151884109
HU001-2	14	R	control	HU001	4	nat	16	6.6	1.8	5/26/2011	black	1.88706964903238	0.587786664902119	4	-1.19970829264247
HU001-3	12	R	drought	HU001	5	nat	7	5.5	1.1	5/24/2011	black	1.70474809223843	0.0953101798043249	2.64575131106459	0.758594763881466
HU001-4	3	C	control	HU001	6	nat	7	6.9	1.8	5/25/2011	black	1.93152141160321	0.587786664902119	2.64575131106459	-0.19260176285748
HU001-5	2	D	control	HU001	1	nat	2	3.1	0.6	5/25/2011	black	1.1314021114911	-0.510825623765991	1.4142135623731	3.33394296247673
HU001-6	9	R	control	HU001	1	nat	12	11	1.8	5/25/2011	black	2.39789527279837	0.587786664902119	3.46410161513775	-1.52155456176675
HU001-7	12	G	drought	HU001	3	nat	9	4.3	1.1	5/24/2011	black	1.45861502269952	0.0953101798043249	3	0.837649717171667
HU001-9	9	E	control	HU001	2	nat	4	1.5	0.5	5/25/2011	black	0.405465108108164	-0.693147180559945	2	4.15999936984337
RO001-1	16	C	drought	RO001	11	nat	9	6.6	1.5	5/24/2011	black	1.88706964903238	0.405465108108164	3	-0.178574702863378
RO001-2	19	S	drought	RO001	11	nat	6	6	1.3	5/24/2011	black	1.79175946922805	0.262364264467491	2.44948974278318	0.576566378560799
RO001-3	17	H	control	RO001	29	nat	11	6.4	2.8	5/26/2011	black	1.85629799036563	1.02961941718116	3.3166247903554	-1.17003862256999
RO001-4	16	L	drought	RO001	27	nat	18	6.5	1.6	5/24/2011	black	1.87180217690159	0.470003629245736	4.24264068711928	-1.22120510630832
RO001-5	3	S	control	RO001	10	nat	10	9.1	2.2	5/25/2011	black	2.2082744135228	0.78845736036427	3.16227766016838	-1.2583162276373
RO001-6	17	F	control	RO001	27	nat	8	8.2	2.4	5/26/2011	black	2.10413415427021	0.8754687373539	2.82842712474619	-0.951481946803253
RO001-7	17	G	control	RO001	14	nat	21	8.3	1.5	5/26/2011	black	2.11625551480255	0.405465108108164	4.58257569495584	-1.76607612987219
RO001-8	14	B	control	RO001	29	nat	9	8.5	1.5	5/26/2011	black	2.14006616349627	0.405465108108164	3	-0.548078477939697
RO001-9	2	J	control	RO001	10	nat	9	9	2.6	5/25/2011	black	2.19722457733622	0.955511445027436	3	-1.32402709341238
RO002-1	3	B	control	RO001	25	nat	6	4.8	1	5/25/2011	black	1.56861591791385	0	2.44948974278318	1.23276709382264
