"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"466096235" "466096235" 50.25 -119.25 "inv" 1975 "CA" 587 75 171 -20 824 163 12 78 457 55 55 420 135 38 7473 276 -72 348 -15 171 -3.03828598345753 -0.376591590358574 2.12122518445347
"466096674" "466096674" 49.8 -124.6 "inv" 1997 "CA" 174 114 224 4 169 29 5 45 73 22 24 65 131 35 8529 320 -50 370 10 216 -1.46026188593185 1.88046385900698 -3.65776883768161
"466097551" "466097551" 49 -119 "inv" 1961 "CA" 545 90 192 -9 449 62 17 38 177 59 71 161 122 34 7868 294 -55 349 -4 187 -0.696354109194037 0.72233163211225 -1.16838090146002
"466097845" "466097845" 50 -119 "inv" 1958 "CA" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193 -1.41750583624817 1.98784818092101 -2.39844828132558
"466100292" "466100292" 50 -121 "inv" 1972 "CA" 1139 60 150 -26 717 98 18 44 289 77 88 268 133 39 6887 262 -76 338 -20 148 -0.905196959770722 0.378818857559894 1.93654207855825
"466101159" "466101159" 49.03333 -118.43333 "inv" 1925 "CA" 1084 45 151 -65 475 76 21 45 206 71 77 190 130 34 8413 250 -124 374 -57 146 0.456890957390308 2.28478990613674 1.88044301935477
"466101860" "466101860" 50.28333 -121.75 "inv" 1949 "CA" 7 114 194 34 1124 198 11 70 565 63 63 531 112 39 6322 278 -9 287 40 194 -4.2829179334717 -3.65850299898004 1.21034736974951
"466295708" "466295708" 49.5 -119.58333 "inv" 1939 "CA" 41 92 179 3 567 67 35 21 184 112 184 126 83 30 6887 239 -31 270 179 13 2.42158366564415 -2.32082234933982 -0.708526481426122
"466295711" "466295711" 49 -118 "inv" 1939 "CA" 472 97 177 21 1681 275 19 62 787 107 111 719 140 44 6129 290 -25 315 25 175 -5.18743163341307 -4.5363945636375 4.18434949335115
"474263714" "474263714" 65.0231 25.40523 "nat" 1948 "FI" 1436 26 125 -70 483 54 30 18 143 93 134 132 102 31 7672 211 -117 328 -64 -20 3.26858362005754 1.19828621216556 2.89749064299763
"474263835" "474263835" 65.0231 25.40523 "nat" 1948 "FI" 1185 43 145 -60 311 35 17 22 92 60 92 82 116 33 7966 237 -112 349 145 -2 2.62922247114365 1.84685698950576 0.821876659957657
"51793190" "51793190" 45.3746 -117.3431 "inv" 1966 "US" 359 90 194 -16 485 75 21 48 215 66 68 193 99 29 8122 272 -59 331 -10 170 -0.296713541748657 0.1210928903334 -0.753642971495653
"51793773" "51793773" 45.1667 -121.2503 "inv" 1949 "US" 901 55 155 -47 466 63 27 32 179 87 92 164 107 32 7823 237 -94 331 -39 54 1.4650412307393 1.06810197707724 1.33061381054838
"51793908" "51793908" 45.5947 -121.1775 "inv" 1956 "US" 359 90 194 -16 485 75 21 48 215 66 68 193 99 29 8122 272 -59 331 -10 170 -0.294042312017161 0.115817027664892 -0.753329398771765
"51794088" "51794088" 45.393 -121.1719 "inv" 1951 "US" 513 78 185 -31 460 55 27 22 146 89 110 134 135 36 8341 290 -83 373 -23 135 0.567316296889617 1.43348615424866 -0.525087473747686
"60070118" "60070118" 38.6 -109.34 "inv" 1976 "US" 502 70 175 -39 447 53 25 21 134 82 124 126 111 31 8293 265 -90 355 -29 25 1.6265500647328 1.39332932435378 0.00450423372763988
"60070560" "60070560" 41.91 -115.42 "inv" 1985 "US" 1436 26 125 -70 483 54 30 18 143 93 134 132 102 31 7672 211 -117 328 -64 -20 2.98807294351493 1.75231411513465 2.86456180281365
"60070772" "60070772" 34.21 -117.07 "inv" 1994 "US" 1070 51 154 -52 373 42 23 21 110 77 103 98 123 34 8040 252 -105 357 92 6 1.95853598206878 2.29321648589829 0.630695791707487
"60070892" "60070892" 38.38 -109.87 "inv" 2003 "US" 1070 51 154 -52 373 42 23 21 110 77 103 98 123 34 8040 252 -105 357 92 6 2.00914492336971 2.19326034174709 0.636636719733896
"617297299" "617297299" 39.02 -3.46 "nat" NA "ES" 359 90 194 -16 485 75 21 48 215 66 68 193 99 29 8122 272 -59 331 -10 170 -0.373835742801637 0.273414548276615 -0.76269626196007
"618293663" "618293663" 38.93 -3.46 "nat" NA "ES" 611 72 179 -38 309 34 13 27 97 48 97 85 112 31 8406 266 -95 361 179 27 1.57367287781813 1.95424188305423 -1.04571781652031
"618293974" "618293974" 39.02 -3.46 "nat" NA "ES" 892 57 158 -46 361 43 18 24 120 63 96 111 106 31 7981 239 -101 340 -40 13 1.73255650840975 1.9395152738671 0.677444747974605
"668748026" "668748026" 48.55556 -68.23056 "inv" 1978 "CA" 499 81 182 -20 527 79 25 45 226 78 79 205 98 30 7863 260 -64 324 -15 159 0.0926858024557306 -0.12866106969007 -0.00175786433271005
"668748027" "668748027" 48.55556 -68.23056 "inv" 1978 "CA" 359 90 194 -16 485 75 21 48 215 66 68 193 99 29 8122 272 -59 331 -10 170 -0.258108021863615 0.0448443300698033 -0.749111111923738
"668748028" "668748028" 48.55556 -68.23056 "inv" 1978 "CA" 954 56 159 -49 297 33 16 22 89 57 89 78 117 33 8057 252 -100 352 159 11 2.07129554826802 2.01106494692563 -0.0651889945888356
"668748029" "668748029" 46.78889 -71.30306 "inv" 2002 "CA" 442 86 189 -16 305 34 17 21 91 60 89 80 115 33 7932 282 -61 343 167 41 1.23691057089279 0.967065163621353 -1.85346539165617
"689571" "689571" 40.83333 23.85 "nat" 2000 "GR" 27 51 158 -48 649 78 33 31 221 103 197 134 64 21 8037 208 -87 295 145 -16 3.68478188899861 -1.0265280800319 1.23803099258059
"695807123" "695807123" 51.86 12.08 "nat" NA "DE" 31 97 167 26 774 74 50 11 216 162 216 184 76 34 5534 219 -4 223 167 56 2.60894461103204 -4.45069443043457 0.0645653508317232
"695807133" "695807133" 51.16 14.92 "nat" NA "DE" 106 24 146 -107 923 87 60 11 252 194 243 234 94 24 9746 216 -169 385 136 -52 5.67426713196519 -0.0452573233749885 3.53191981743665
"695807140" "695807140" 49.46 8.42 "nat" NA "DE" 58 92 177 8 491 60 29 26 170 90 170 94 81 31 6609 235 -23 258 177 17 2.08586554907072 -2.15825807486302 -0.966613636527488
"695807141" "695807141" 49.46 11.08 "nat" NA "DE" 33 101 175 25 808 83 48 13 229 169 227 195 79 33 5841 231 -5 236 160 60 2.37517678450341 -4.33622251204943 -0.0804272208465453
"695807147" "695807147" 48.66 9.92 "nat" NA "DE" 207 84 171 -4 616 77 34 25 214 112 214 122 76 28 6836 227 -36 263 171 5 2.69000157919438 -2.45630081942485 -0.0273869563980035
"695807152" "695807152" 52.56 13.25 "nat" NA "DE" 116 90 177 2 593 78 32 28 213 103 213 110 78 29 6822 234 -30 264 177 11 2.39096360536748 -2.56087233404151 -0.432195935687186
"695807172" "695807172" 51.66 14.08 "nat" NA "DE" 46 91 178 1 577 70 35 21 188 113 188 129 82 30 6909 239 -33 272 178 42 2.37895378274796 -2.38058755515382 -0.634496443459996
"695807175" "695807175" 51.56 11.58 "nat" NA "DE" 66 92 180 -1 555 66 32 23 188 105 188 115 80 29 7020 239 -34 273 180 10 2.46430618730479 -2.20416353617763 -0.749487177376813
"695807182" "695807182" 51.46 11.75 "nat" NA "DE" 137 87 170 5 512 65 30 26 178 96 178 97 80 31 6441 228 -25 253 170 14 2.26204255410064 -2.31395349015391 -0.527353448839711
"695807184" "695807184" 51.46 12.08 "nat" NA "DE" 84 90 175 8 490 61 29 27 172 90 172 92 81 31 6537 233 -22 255 175 16 2.12102102223742 -2.23530861111586 -0.859262876950407
"695807187" "695807187" 51.36 11.92 "nat" NA "DE" 89 91 176 6 504 61 29 25 175 92 175 97 81 31 6605 234 -24 258 176 15 2.16615703613956 -2.21768236988906 -0.849502951745388
"695807207" "695807207" 49.56 8.42 "nat" NA "DE" 141 88 172 2 542 63 31 24 186 100 186 105 80 30 6650 231 -30 261 172 11 2.38990619333732 -2.22113232873791 -0.520178663151169
