Pop	Row	Column	Trt	Mom	Origin	tagged	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4
CA001-4	CA001	3	J	control	5	inv	CA001-4	3	7.5	1.6	13	red	2.01490302054226	0.470003629245736	1.73205080756888	23.6	23	13.6	3.9	3.16124671203156	2.61006979274201	1.3609765531356	4.79583152331272	NA	117	No	NA	57	48	0.2148786	28.5	4.5	24.7	48	NA	4.04305126783455	3.87120101090789	-1.53768206149277	3.3499040872746	1.50407739677627	3.20680324363393	3.87120101090789	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CA001-8	CA001	12	L	drought	4	inv	CA001-8	12	5.1	1.6	12	red	1.62924053973028	0.470003629245736	3.46410161513775	24.3	34	12.9	4.1	3.1904763503465	2.55722731136763	1.41098697371026	5.8309518948453	NA	117	No	NA	52	50	0.2041975	29	6.5	29.1	80	NA	3.95124371858143	3.91202300542815	-1.58866761622564	3.36729582998647	1.87180217690159	3.37073817417745	4.38202663467388	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CORY1-6	CA001	5	F	drought	1	inv	CORY1-6	17	8	1.9	12	red	2.07944154167984	0.641853886172395	4.12310562561766	39.2	48	19.6	6.5	3.66867674679642	2.97552956623647	1.87180217690159	6.92820323027551	50	53	Yes	19	52	52	0.2123654	25	7	16.04	30	96	3.95124371858143	3.95124371858143	-1.54944690307235	3.2188758248682	1.94591014905531	2.77508560243837	3.40119738166216	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CORY1-4	CA001	13	E	control	4	inv	CORY1-4	4	2.2	0.7	14	red	0.78845736036427	-0.356674943938732	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CA001-2	CA001	8	C	control	1	inv	CA001-2	22	6.5	1.9	13	red	1.87180217690159	0.641853886172395	4.69041575982343	31.4	55	18.3	4.9	3.44680789291421	2.90690105984738	1.58923520511658	7.41619848709566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CA009-6	CA009	6	K	control	27	inv	CA009-6	16	9.9	2.2	13	red	2.29253475714054	0.78845736036427	4	44.3	61	22.5	5.4	3.79098467705109	3.11351530921037	1.68639895357023	7.81024967590665	42	42	Yes	9	57	54	0.241738425	30	5	10.91	22	78	4.04305126783455	3.98898404656427	-1.41989902583638	3.40119738166216	1.6094379124341	2.38967979984498	3.09104245335832	1	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
CA009-4	CA009	9	I	control	70	inv	CA009-4	10	7.5	2.2	13	red	2.01490302054226	0.78845736036427	3.16227766016838	25.1	23	13.1	5.4	3.22286784613774	2.57261223020711	1.68639895357023	4.79583152331272	NA	117	No	NA	60	58	0.2733105	28	10.5	34.7	158	NA	4.0943445622221	4.06044301054642	-1.29714676746669	3.3322045101752	2.35137525716348	3.54673968695281	5.06259503302697	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
CA009-7	CA009	16	S	drought	72	inv	CA009-7	10	8.2	2.2	18	red	2.10413415427021	0.78845736036427	3.16227766016838	36.5	17	18.5	3.8	3.59731226058845	2.91777073208428	1.33500106673234	4.12310562561766	NA	117	No	NA	49	47	0.180871863	25	7	22	38	NA	3.89182029811063	3.85014760171006	-1.70996643765014	3.2188758248682	1.94591014905531	3.09104245335832	3.63758615972639	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
TR003-7	CA009	2	M	control	72	inv	TR003-7	17	8.9	2.2	13	red	2.18605127673809	0.78845736036427	4.12310562561766	30.4	44	16.2	5.9	3.41444260841218	2.78501124223834	1.77495235091167	6.6332495807108	50	50	Yes	13.5	46	45	0.162572625	24.5	8	15.1	32	122	3.8286413964891	3.80666248977032	-1.81663045397579	3.19867311755068	2.07944154167984	2.71469474382088	3.46573590279973	1	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
TR003-8	CA009	15	S	drought	70	inv	TR003-8	8	8.2	1.6	12	red	2.10413415427021	0.470003629245736	2.82842712474619	37.4	16	18.4	7.1	3.62167070442049	2.91235066461494	1.96009478404727	4	NA	117	No	NA	51	49	0.196265213	23	7	32	76	NA	3.93182563272433	3.89182029811063	-1.62828840685268	3.13549421592915	1.94591014905531	3.46573590279973	4.33073334028633	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
TR003-3	CA009	10	R	control	30	inv	TR003-3	11	4.6	1.4	13	red	1.52605630349505	0.336472236621213	3.3166247903554	21.2	23	10.2	3.2	3.05400118167797	2.32238772029023	1.16315080980568	4.79583152331272	NA	117	No	NA	63	58	0.286976025	32	9	24.4	120	NA	4.14313472639153	4.06044301054642	-1.24835660329726	3.46573590279973	2.19722457733622	3.19458313229916	4.78749174278205	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
EDGE-55	CA009	5	C	drought	72	inv	EDGE-55	6	3.5	0.8	12	red	1.25276296849537	-0.22314355131421	2.44948974278318	17.1	19	9	3.4	2.83907846350861	2.19722457733622	1.22377543162212	4.35889894354067	NA	117	No	NA	36	31	0.08764785	18	6	24.2	50	NA	3.58351893845611	3.43398720448515	-2.43442819729395	2.89037175789616	1.79175946922805	3.18635263316264	3.91202300542815	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
EDGE-1	CA009	2	I	control	72	inv	EDGE-1	6	4.5	1.3	13	red	1.50407739677627	0.262364264467491	2.44948974278318	27.6	13	14.2	5.6	3.3178157727231	2.65324196460721	1.7227665977411	3.60555127546399	NA	117	No	NA	67	65	0.342030813	28	5	31	112	NA	4.20469261939097	4.17438726989564	-1.07285444948675	3.3322045101752	1.6094379124341	3.43398720448515	4.71849887129509	0	599	-33	8165	-82	130	49.2961027777778	-118.473830555556	0.763109634553909	0.049707685494433	2.2233532172617	-2.09597060506623
