"Pop" "Origin" "Latitude" "Longitude" "Row" "Column" "Trt" "Mom" "tagged" "Bolt.date" "BoltedatH" "MaxBoltHtH" "Rose.AreaH.m2" "CrownDiam.mm" "Shoot.mass.gH" "bolt.bin" "time" "m.date" "lfl" "lfw" "lfc" "rd" "alt" "PC1" "PC2" "PC3"
"55" "BG001" "nat" 43.3819444444444 28.4575 15 "H" "drought" 25 "US018-4" NA "No" NA 0.184563125 30.8 62 0 3 117 25 5 NA 50 61 0.930732145179002 1.19301447853028 2.95606253906668
"56" "BG001" "nat" 43.3819444444444 28.4575 15 "N" "drought" 5 "BG001-2" NA "No" NA 0.1922598 24.4 40 0 3 117 27 4.5 NA 51 61 0.930732145179002 1.19301447853028 2.95606253906668
"57" "BG001" "nat" 43.3819444444444 28.4575 16 "G" "drought" 5 "US018-3" NA "No" NA 0.096208438 19.8 26 0 3 117 20 4.5 NA 35 61 0.930732145179002 1.19301447853028 2.95606253906668
"58" "BG001" "nat" 43.3819444444444 28.4575 16 "I" "drought" 5 "RU001-2" NA "No" NA 0.079715563 13.4 8 0 3 117 18 4 NA 35 61 0.930732145179002 1.19301447853028 2.95606253906668
"59" "BG001" "nat" 43.3819444444444 28.4575 17 "I" "control" 25 "US018-9" NA "No" NA 0.282028163 36.3 104 0 3 117 28 3.5 NA 63 61 0.930732145179002 1.19301447853028 2.95606253906668
"60" "BG001" "nat" 43.3819444444444 28.4575 18 "E" "control" 4 "BG001-4" NA "No" NA 0.18849 32.9 74 0 3 117 28 6 NA 50 61 0.930732145179002 1.19301447853028 2.95606253906668
"61" "BG001" "nat" 43.3819444444444 28.4575 19 "C" "drought" 4 "US014-1" 39 "Yes" 21 0.061494863 9.74 5.5 1 3 42 15.5 3.5 31 29 61 0.930732145179002 1.19301447853028 2.95606253906668
"62" "BG001" "nat" 43.3819444444444 28.4575 19 "K" "drought" 4 "US014-7" NA "No" NA 0.1168638 18.4 20 0 3 117 23 4 NA 48 61 0.930732145179002 1.19301447853028 2.95606253906668
"63" "BG001" "nat" 43.3819444444444 28.4575 4 "D" "drought" 4 "BG001-7" 50 "Yes" 11 0.125640366 9.27 8 1 2 31 14.9 2.7 20 28.5 61 0.930732145179002 1.19301447853028 2.95606253906668
"64" "BG001" "nat" 43.3819444444444 28.4575 4 "L" "control" 2 "BG001-8" NA "No" NA 0.07256865 16.1 28 0 2 32 9.5 3.4 14 19.5 61 0.930732145179002 1.19301447853028 2.95606253906668
"65" "BG001" "nat" 43.3819444444444 28.4575 4 "M" "control" 2 "BG001-6" NA "No" NA 0.1470222 22.9 78 0 2 31 13.8 5.3 16 21.6 61 0.930732145179002 1.19301447853028 2.95606253906668
"66" "BG001" "nat" 43.3819444444444 28.4575 4 "O" "control" 5 "RO002-3" NA "No" NA 0.15550425 15.1 28 0 2 32 12.2 4.2 12 19.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"67" "BG001" "nat" 43.3819444444444 28.4575 4 "Q" "control" 5 "BG001-3" 57 "Yes" 3 0.084270738 12 18 1 2 31 10.2 1.9 18 18.6 61 0.930732145179002 1.19301447853028 2.95606253906668
"68" "BG001" "nat" 43.3819444444444 28.4575 5 "O" "drought" 5 "EDGE-2" NA "No" NA 0.1099525 24.7 50 0 2 32 13.6 3.2 25 24.5 61 0.930732145179002 1.19301447853028 2.95606253906668
"69" "BG001" "nat" 43.3819444444444 28.4575 6 "S" "control" 4 "US018-7" NA "No" NA 0.1162355 27.8 NA 0 2 31 15.2 4.3 23 31.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"70" "BG001" "nat" 43.3819444444444 28.4575 4 "O" "control" 5 "RO002-3" NA "No" NA 0.15550425 15.1 28 0 3 117 24 7 NA 45 61 0.930732145179002 1.19301447853028 2.95606253906668
"71" "BG001" "nat" 43.3819444444444 28.4575 4 "Q" "control" 5 "BG001-3" 57 "Yes" 3 0.084270738 12 18 1 3 60 17 4 146 37 61 0.930732145179002 1.19301447853028 2.95606253906668
"72" "BG001" "nat" 43.3819444444444 28.4575 5 "O" "drought" 5 "EDGE-2" NA "No" NA 0.1099525 24.7 50 0 3 117 21 3.5 NA 40 61 0.930732145179002 1.19301447853028 2.95606253906668
"73" "BG001" "nat" 43.3819444444444 28.4575 6 "S" "control" 4 "US018-7" NA "No" NA 0.1162355 27.8 NA 0 3 117 19 6 NA 40 61 0.930732145179002 1.19301447853028 2.95606253906668
"74" "BG001" "nat" 43.3819444444444 28.4575 3 "K" "control" 5 "RO003-9" NA "No" NA 0.082778525 15 16 0 2 32 8.7 2.5 29 14.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"75" "BG001" "nat" 43.3819444444444 28.4575 3 "P" "control" 4 "US018-2" 64 "Yes" 15 0.131943 9.5 19 1 2 31 19.7 5.5 15 30.7 61 0.930732145179002 1.19301447853028 2.95606253906668
"76" "BG001" "nat" 43.3819444444444 28.4575 2 "P" "control" 5 "RO003-6" 50 "Yes" 14 0.097543575 11.9 6 1 3 50 19 5.5 57 36 61 0.930732145179002 1.19301447853028 2.95606253906668
"77" "BG001" "nat" 43.3819444444444 28.4575 3 "K" "control" 5 "RO003-9" NA "No" NA 0.082778525 15 16 0 3 117 14 2.5 NA 34 61 0.930732145179002 1.19301447853028 2.95606253906668
"78" "BG001" "nat" 43.3819444444444 28.4575 3 "P" "control" 4 "US018-2" 64 "Yes" 15 0.131943 9.5 19 1 3 64 20 6.5 52 42 61 0.930732145179002 1.19301447853028 2.95606253906668
"79" "BG001" "nat" 43.3819444444444 28.4575 3 "U" "control" 4 "BG001-5" 46 "Yes" 22 0.1017846 12.82 8 1 3 46 17 4.5 85 36 61 0.930732145179002 1.19301447853028 2.95606253906668
"80" "BG001" "nat" 43.3819444444444 28.4575 4 "D" "drought" 4 "BG001-7" 50 "Yes" 11 0.125640366 9.27 8 1 3 53 20.5 4.5 42 40.5 61 0.930732145179002 1.19301447853028 2.95606253906668
"81" "BG001" "nat" 43.3819444444444 28.4575 4 "L" "control" 2 "BG001-8" NA "No" NA 0.07256865 16.1 28 0 3 117 18.5 3 NA 33 61 0.930732145179002 1.19301447853028 2.95606253906668
"82" "BG001" "nat" 43.3819444444444 28.4575 4 "M" "control" 2 "BG001-6" NA "No" NA 0.1470222 22.9 78 0 3 117 23.5 3 NA 48 61 0.930732145179002 1.19301447853028 2.95606253906668
"83" "BG001" "nat" 43.3819444444444 28.4575 3 "U" "control" 4 "BG001-5" 46 "Yes" 22 0.1017846 12.82 8 1 2 32 10.1 2.2 31 19.2 61 0.930732145179002 1.19301447853028 2.95606253906668
