Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
TR001-2	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	23	NA	NA	NA	NA	37	32	0.0929884	17	18.5	3.5	7.44		8
TR001-3	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	26.5	NA	NA	NA	NA	55	52.5	0.226777031	44	27.5	4.5	10.87		8
TR001-4	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	31	28	NA	NA	NA	60	50	0.2356125	92	30	5	23.78	no flow	44
TR001-5	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21	NA	NA	NA	NA	31	29	0.070605213	15	17.5	4	6.36		4.5
TR001-6	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	18	NA	NA	NA	NA	40	32	0.100528	47	20.5	4	8.76		14
TR001-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	48	46	0.1734108	NA	25	3.5	20		46
TR001-8	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	37	32	0.0929884	10	20	5	7.7		1.7
TR001-9	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	9	NA	NA	NA	NA	60	59	0.27802275	22	30	8	10.04		12
TR003-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	40	38	0.119377	NA	21	4	16.5		50
TR003-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	63	58	0.286976025	NA	32	9	24.4		120
TR003-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	80	78	0.490074	NA	32	5	54		168
TR003-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	74	60	0.3487065	NA	37	4.5	45		204
TR003-7	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13.5	NA	NA	NA	NA	46	45	0.162572625	122	24.5	8	15.1		32
TR003-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	51	49	0.196265213	NA	23	7	32		76
TR004-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	71	67	0.373602888	NA	33	8	36.9		132
TR004-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	65	63	0.321611063	NA	31	9.5	42.7		124
TR004-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	85	77	0.514027938	NA	42	8	32		210
TR004-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	80	68	0.427244	NA	45	9.5	32.4		124
TR004-7	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	51	50	0.200270625	68	28.5	8	13.55		20
UA003-1	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	7	NA	NA	NA	NA	39	31	0.094951838	23	21.5	8	8.32		8
UA003-2	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	7	NA	NA	NA	NA	52	47	0.19194565	27	27	7.5	11.02		8
UA003-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	74	73	0.424259575	NA	38	9	45.7		142
UA003-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	61	39	0.186840713	NA	33	13	32.6		78
UA003-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	44	40	0.138226	NA	21	7	27.2		54
UA003-6	Monday, June 27, 2011	Monday, June 27, 2011	Yes	16	8	8	NA	NA	49	48	0.1847202	37	25	10	11.9		14
UA003-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	70	66	0.36284325	NA	32	6.5	35.3		138
UA003-9	Monday, June 27, 2011	Monday, June 27, 2011	Yes	13	12	12	7	NA	46	46	0.16618535	48	25	9	12.2		12.8
UA004-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	87	86	0.587617575	NA	57	5	38.4		242
UA006-3	Monday, June 27, 2011	Tuesday, July 12, 2011	Yes	39	32	29	28	NA	43	43	0.145215838	118	24	7	22.04	no flow but 4 axes, pb n° entouré	46
UA006-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	87	81	0.553453763	NA	42	10.5	59.4		132
UA006-6	Friday, July 22, 2011	Friday, July 22, 2011	Yes	57	NA	NA	NA	NA	55	51	0.220297688	185	28	6	22.1		53
UA006-8	Monday, June 27, 2011	Monday, June 27, 2011	Yes	17	16	15	15	9	44	43	0.14859295	58	21	7	10.16		7.5
UA006-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	45	0.190846125	NA	29	7	36.1		84
UA007-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	59	50	0.231685625	NA	32	12	45.9		94
UA007-6	Monday, June 27, 2011	Monday, June 27, 2011	Yes	18	NA	NA	NA	NA	52	47	0.19194565	61	33	7	8.68		11.6
UA007-7	Friday, July 01, 2011	Friday, July 01, 2011	Yes	17	NA	NA	NA	NA	54	52	0.2205333	75	26	7	16.07		16
UA007-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	53	48	0.1997994	NA	26	7	28.1		126
UA008-1	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	5.5	NA	NA	NA	NA	51	49	0.196265213	16	27	8	10.55		8
