"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"140" "224897634" 38 -120 "inv" NA "US" 1293 111 234 -10 314 61 7 65 150 22 142 22 181 40 9450 339 -111 450 209 -10
"141" "224897636" 39 -120 "inv" NA "US" 1438 97 216 -18 391 68 7 68 195 24 179 24 170 39 9098 321 -109 430 190 -18
"142" "224897637" 39 -120 "inv" NA "US" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24
"143" "224897648" 40 -124 "inv" NA "US" 2281 37 150 -82 376 42 20 22 120 70 119 70 178 40 8923 266 -171 437 142 -82
"144" "224897649" 38 -120 "inv" NA "US" 188 68 185 -56 798 101 34 25 263 134 225 146 109 28 9442 263 -121 384 143 -50
"145" "224897650" 38 -120 "inv" NA "US" 1182 39 143 -68 571 95 23 50 259 80 82 238 127 34 8220 241 -125 366 -60 139
"146" "224897654" 39 -120 "inv" NA "US" 1182 39 143 -68 571 95 23 50 259 80 82 238 127 34 8220 241 -125 366 -60 139
"147" "224897657" 37 -120 "inv" NA "US" 1552 95 205 -12 383 65 12 48 158 39 120 39 162 39 8445 308 -101 409 136 -12
"148" "224897709" 34 -117 "inv" NA "US" 1789 90 199 -11 433 66 12 45 173 44 157 44 169 41 8188 303 -104 407 174 -11
"149" "224897780" 36 -121 "inv" NA "US" 1710 95 204 -7 434 67 13 42 166 48 144 48 163 40 8227 304 -98 402 178 -7
"150" "224897790" 34 -117 "inv" NA "US" 1719 94 203 -5 424 66 13 42 163 46 139 46 159 40 8093 300 -92 392 176 -5
"151" "224897791" 34 -117 "inv" NA "US" 2719 25 122 -64 523 59 30 24 166 97 163 97 155 42 7344 226 -140 366 99 -64
"152" "224897920" 34 -117 "inv" NA "US" 1730 95 206 -7 421 69 13 49 178 41 155 41 160 39 8298 308 -94 402 180 -7
"153" "224897939" 34 -117 "inv" NA "US" 2147 65 164 -24 418 61 13 45 165 44 152 44 157 42 7378 266 -102 368 140 -24
"154" "235127526" 50.7836 4.36183 "nat" NA "BE" 2384 48 146 -42 452 57 19 36 162 62 158 62 162 43 7363 251 -124 375 123 -42
"155" "296440620" 40.261 29.829 "nat" 1988 "TR" 1616 79 196 -30 392 68 6 69 200 24 177 24 169 40 8806 306 -116 422 169 -30
"156" "306598310" 50.15948 -5.5707 "nat" 1888 "GB" 1659 96 201 -1 427 68 14 42 167 48 130 48 156 40 7925 300 -85 385 132 -1
"157" "307501201" 53.61637 -0.11009 "nat" 1969 "GB" 1832 82 185 -15 408 65 13 45 161 42 136 42 158 41 7808 287 -97 384 161 -15
"158" "318053388" 43.66583 -118.59 "inv" 2003 "US" 1967 73 175 -21 394 62 11 48 161 38 141 38 155 41 7673 278 -99 377 151 -21
"159" "318053389" 43.66583 -118.59 "inv" 2003 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55
"160" "319555388" 39.42 -104.88 "inv" 2000 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55
"161" "319555389" 39.62 -105.18 "inv" 1999 "US" 1944 99 203 -4 321 61 13 56 152 42 140 42 174 43 8046 304 -95 399 195 -4
"162" "319555390" 39.93 -104.83 "inv" 1999 "US" 114 140 229 56 586 88 14 44 234 67 68 218 99 33 6826 303 10 293 72 227
"163" "319555393" 39.7 -105.68 "inv" 2000 "US" 2270 59 162 -36 466 77 10 59 207 38 207 38 167 42 7735 265 -125 390 162 -36
"164" "319555687" 40.19 -105.1 "inv" 2002 "US" 1855 85 190 -11 437 66 13 42 168 48 148 48 166 42 7847 292 -102 394 164 -11
"165" "325519741" 49.99 6 "nat" NA "LU" 2596 32 132 -64 466 55 26 25 152 83 152 83 166 42 7652 239 -149 388 132 -64
"166" "325519755" 49.64 6.13 "nat" 1949 "LU" 1338 34 135 -67 318 35 17 22 96 61 96 82 114 33 7873 226 -119 345 135 -11
"167" "325519760" 49.64 6.13 "nat" 1949 "LU" 118 119 227 13 176 29 5 47 76 22 24 68 134 36 8307 326 -40 366 18 219
"168" "325519769" 49.64 6.13 "nat" 1951 "LU" 2004 86 202 -26 348 38 16 20 108 69 88 77 147 36 8822 303 -102 405 153 127
"169" "332160836" 43.39912 5.32403 "nat" 2008 "FR" 25 115 200 32 704 130 7 73 368 39 39 344 120 39 6610 289 -14 303 37 200
"170" "367026492" 48.18222 16.39556 "nat" 2010 "AT" 1841 88 196 -13 434 66 12 47 177 43 162 43 170 41 8156 301 -107 408 171 -13
"171" "411859956" 43.39292 5.33575 "nat" 2011 "FR" 2459 59 169 -45 455 49 21 19 137 87 115 106 139 36 8341 267 -117 384 162 94
"172" "415904179" 42.26666 -71.8 "inv" 1976 "US" 1709 49 162 -67 402 59 14 43 164 50 60 159 164 38 8868 285 -140 425 -51 157
"173" "415904180" 41.96222 -72.84 "inv" 1941 "US" 952 68 163 -21 782 107 25 40 309 97 112 290 126 37 7207 270 -70 340 -15 159
"174" "415904181" 41.98333 -72.69166 "inv" 1941 "US" 1377 85 188 -10 210 24 8 25 64 36 44 55 176 43 7700 316 -85 401 117 181
"175" "415904182" 41.98333 -72.69166 "inv" 1941 "US" 1462 97 191 10 275 45 9 53 119 32 32 119 184 47 7045 315 -73 388 10 191
"176" "441720162" 47.83528 -120.70278 "inv" 1988 "US" 1827 53 156 -44 323 38 15 27 103 53 64 92 179 43 7771 287 -128 415 -33 151
"177" "441720163" 46.96004 -119.98611 "inv" 1952 "US" 173 99 215 -24 885 95 47 21 275 166 275 166 102 28 9269 284 -78 362 193 -24
"178" "441720166" 48.5575 -119.74861 "inv" 1989 "US" 2145 32 142 -75 392 40 24 13 113 84 84 93 162 39 8448 259 -150 409 20 142
"179" "441720167" 47.65417 -117.45556 "inv" 1992 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238
"180" "441720169" 48.76667 -121.13333 "inv" 1975 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238
"181" "441720170" 46.63333 -120.51667 "inv" 1992 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238
