Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
TR003-8	15	S	drought	CA009	70	inv	37.4	16	18.4	7.1	3.62167070442049	2.91235066461494	1.96009478404727	4	1.1338562490829
TR004-2	19	L	drought	HU001	4	nat	18.3	11	11.4	4.6	2.90690105984738	2.43361335540045	1.52605630349505	3.3166247903554	-1.39636910534831
TR004-3	14	P	control	HU001	4	nat	32.6	46	15.7	6.4	3.48431228837266	2.75366071235426	1.85629799036563	6.78232998312527	1.24035958332056
TR004-4	5	P	drought	HU001	2	nat	20.5	12	12.5	4.7	3.02042488614436	2.52572864430826	1.54756250871601	3.46410161513775	-1.02379363023105
TR004-5	6	M	control	HU001	3	nat	24.2	13	14.6	3.5	3.18635263316264	2.68102152871429	1.25276296849537	3.60555127546399	-0.905532621036743
TR004-7	14	M	control	HU001	1	nat	39.8	35	21.7	7.7	3.68386691229039	3.07731226054641	2.04122032885964	5.91607978309962	2.06558776877117
UA003-1	5	G	drought	CA010	1	inv	35.8	16	18.4	6.7	3.57794789340665	2.91235066461494	1.90210752639692	4	0.992611659862183
UA003-2	3	I	control	CA010	1	inv	33	23	17.4	6.3	3.49650756146648	2.85647020622048	1.84054963339749	4.79583152331272	0.903008031801061
UA003-3	8	P	control	CA010	4	inv	40.1	33	20.1	6.6	3.69137633431252	3.00071981506503	1.88706964903238	5.74456264653803	1.70676308945247
UA003-4	19	O	drought	CA010	3	inv	15.7	12	8.7	3.2	2.75366071235426	2.16332302566054	1.16315080980568	3.46410161513775	-2.49048962378871
UA003-5	5	J	drought	CA010	1	inv	28.6	13	15.9	5.7	3.35340671782581	2.76631910922619	1.7404661748405	3.60555127546399	0.125758965118689
UA003-6	16	H	drought	CA010	1	inv	31.9	24	16.8	5.1	3.4626060097908	2.82137888640921	1.62924053973028	4.89897948556636	0.540180474901687
UA003-7	5	N	drought	CA010	4	inv	44.5	16	22	7.2	3.79548918917219	3.09104245335832	1.97408102602201	4	1.68121787292258
UA003-9	9	J	control	CA010	1	inv	30.6	20	17.8	6.2	3.42100000895834	2.87919845729804	1.82454929205105	4.47213595499958	0.727490512407957
UA004-2	4	H	control	UA004	11	nat	44	32	22.2	4.8	3.78418963391826	3.10009228887823	1.56861591791385	5.65685424949238	1.54380473610575
UA006-3	8	K	control	RO001	27	nat	34.5	45	18.2	4.1	3.54095932403731	2.90142159408275	1.41098697371026	6.70820393249937	0.932791989339081
UA006-4	16	N	drought	RO001	10	nat	29.9	15	18.4	5.2	3.39785848039664	2.91235066461494	1.64865862558738	3.87298334620742	0.359581104780885
UA006-6	8	O	control	RO001	14	nat	30.2	15	17	4.2	3.40784192438082	2.83321334405622	1.43508452528932	3.87298334620742	-0.0371661082341525
UA006-8	19	Q	drought	RO001	27	nat	40.2	33	20.5	5.3	3.69386699562498	3.02042488614436	1.66770682055808	5.74456264653803	1.44513096419672
UA006-9	18	B	control	RO001	14	nat	36.9	18	18.3	5	3.60821155104648	2.90690105984738	1.6094379124341	4.24264068711928	0.693312257072313
UA007-5	6	R	control	RU008	3	nat	24.7	25	13	5.2	3.20680324363393	2.56494935746154	1.64865862558738	5	-0.176120904632542
UA007-6	19	U	drought	RO001	29	nat	36	28	18.2	4.9	3.58351893845611	2.90142159408275	1.58923520511658	5.29150262212918	0.882554767086578
UA007-7	6	H	control	RO001	11	nat	36.8	19	18.7	5.8	3.60549784517489	2.92852352386054	1.75785791755237	4.35889894354067	0.952099030026328
UA007-9	9	S	control	RO001	11	nat	26.4	12	14.9	3.1	3.27336401015227	2.70136121295141	1.1314021114911	3.46410161513775	-0.947292157182124
UA008-1	8	U	control	RO005	24	nat	36	16	18.4	5.8	3.58351893845611	2.91235066461494	1.75785791755237	4	0.806084220745505
UA008-3	12	P	drought	RO005	24	nat	30.4	14	17.2	4.6	3.41444260841218	2.84490938381941	1.52605630349505	3.74165738677394	0.0806090953056016
UA008-5	4	G	drought	GR002	21	nat	9.2	5	5.2	0.8	2.21920348405499	1.64865862558738	-0.22314355131421	2.23606797749979	-6.23634390372555
UA008-6	5	E	drought	RO005	20	nat	26.2	12	14.2	3.8	3.26575941076705	2.65324196460721	1.33500106673234	3.46410161513775	-0.758485545827588
UA008-7	15	T	drought	RO005	29	nat	28.7	14	14.6	4.6	3.35689712276558	2.68102152871429	1.52605630349505	3.74165738677394	-0.257238617565862
US001-1	9	O	control	US001	9	inv	33.7	30	17.1	4.2	3.51749783735832	2.83907846350861	1.43508452528932	5.47722557505166	0.528649187322199
US001-2	5	K	drought	US001	30	inv	47.7	16	23.5	6.2	3.8649313978943	3.15700042115011	1.82454929205105	4	1.68222767512023
US001-3	8	H	control	US001	30	inv	48.2	28	24.2	6.5	3.87535902105655	3.18635263316264	1.87180217690159	5.29150262212918	2.12754449101259
US001-4	6	C	control	US001	29	inv	34.6	33	18.9	5.6	3.54385368206368	2.9391619220656	1.7227665977411	5.74456264653803	1.17674149295068
US001-5	8	B	control	US001	4	inv	29.4	49	15.9	4.9	3.38099467434464	2.76631910922619	1.58923520511658	7	0.804977299992312
US001-6	14	J	control	US001	29	inv	41.9	63	20	5.7	3.73528582692809	2.99573227355399	1.7404661748405	7.93725393319377	2.10939448367095
US001-7	15	F	drought	US001	7	inv	35.3	41	19.1	7.2	3.56388296393925	2.94968833505258	1.97408102602201	6.40312423743285	1.72458574158781
US001-9	4	B	drought	US001	7	inv	13.6	22	7.5	1.6	2.61006979274201	2.01490302054226	0.470003629245736	4.69041575982343	-3.55851928248543
US002-1	19	N	drought	US002	15	inv	36.2	18	20.3	4.9	3.58905911883173	3.01062088604774	1.58923520511658	4.24264068711928	0.799762667388306
US002-2	8	M	control	US002	10	inv	41	18	21.1	4.9	3.71357206670431	3.04927304048202	1.58923520511658	4.24264068711928	1.03938157438741
US002-3	3	L	control	US002	9	inv	32.2	11	20.2	4.5	3.47196645255036	3.00568260440716	1.50407739677627	3.3166247903554	0.278329007192593
US002-6	10	O	control	US002	10	inv	38.2	17	19.4	4.1	3.64283551561253	2.96527306606928	1.41098697371026	4.12310562561766	0.536646452640619
US002-7	2	N	control	US002	9	inv	8.5	5	5.1	1.2	2.14006616349627	1.62924053973028	0.182321556793955	2.23606797749979	-5.8337552732774
US002-8	3	O	control	US002	3	inv	45.2	14	22.7	4.2	3.81109708683819	3.12236492448736	1.43508452528932	3.74165738677394	0.961262658235182
US003-1	12	S	drought	US003	27	inv	28.2	27	16	5.4	3.33932197794407	2.77258872223978	1.68639895357023	5.19615242270663	0.437498197584819
