"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"164347463" "164347463" 46.25667 -118.84667 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92 5.48110223951372 4.20038985221278 -2.16835529297708
"164347464" "164347464" 47.77167 -120.97167 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92 5.50838390206633 4.22428244100899 -2.15185830089556
"174504460" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148 -1.18307646780609 -2.06593202323534 -1.03303649089095
"176910247" "176910247" 38.31639 -103.34917 "inv" 2000 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106 -0.0987583030341011 -2.03435867364198 -4.40390058638749
"176910253" "176910253" 40.06444 -106.20583 "inv" 2004 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186 -2.29498403054425 -0.228490254644245 1.56620464240878
"176910255" "176910255" 45.306 -85.095 "inv" 1995 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106 0.0271084833647976 -1.92412773134764 -4.32778999838558
"185840775" "185840775" 40.1886 -105.1803 "inv" NA "US" 80 113 182 51 1112 196 12 68 550 66 71 507 116 44 5155 273 10 263 55 180 -1.96975832733882 5.88740896864389 -1.6717948760404
"185840776" "185840776" 39.422 -104.9571 "inv" NA "US" 142 110 199 24 525 103 5 76 282 30 30 263 125 39 6888 295 -25 320 29 199 -3.0873378667391 1.90497590788563 0.610025737923895
"185840778" "185840778" 39.5001 -105.0537 "inv" NA "US" 1117 73 138 20 1346 236 10 71 674 61 75 616 123 48 4761 231 -25 256 24 136 -1.78033373152955 5.86314172705815 -5.12672586337444
"185840779" "185840779" 39.6467 -105.1551 "inv" NA "US" 994 82 165 7 235 33 10 38 93 33 45 84 162 47 6210 288 -55 343 11 162 -2.7342125267619 -1.03045974562415 0.612258236463637
