Pop	Row	Column	Trt	Mom	Origin	tagged	color	Bolt.date	BoltedatH	MaxBoltHtH	Min.Rose.diamH	Rose.AreaH.m2	CrownDiam.mm	Shoot.mass.gH	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4	time	m.date	lfl	lfw	lfc	rd	Harvest.date
78	BG001	5	O	drought	5	nat	EDGE-2	black	NA	No	NA	35	0.1099525	24.7	50	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	21	3.5	NA	40	117
79	BG001	6	S	control	4	nat	US018-7	black	NA	No	NA	37	0.1162355	27.8	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	15.2	4.3	23	31.2	117
80	BG001	6	S	control	4	nat	US018-7	black	NA	No	NA	37	0.1162355	27.8	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	8.2	2.1	9	NA	117
81	BG001	6	S	control	4	nat	US018-7	black	NA	No	NA	37	0.1162355	27.8	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	19	6	NA	40	117
82	BG001	9	U	control	2	nat	RU001-1	black	NA	No	NA	65	0.408395	42.2	168	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	40	8	NA	80	117
83	BG001	9	U	control	2	nat	RU001-1	black	NA	No	NA	65	0.408395	42.2	168	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	5.1	1.6	6	NA	117
84	BG001	9	U	control	2	nat	RU001-1	black	NA	No	NA	65	0.408395	42.2	168	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	12.7	4.2	14	23.5	117
85	CA001	12	J	drought	3	inv	CA001-7	red	46	Yes	9	56	0.2594879	12.91	15	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	12	5.2	1.9	9	NA	46
86	CA001	12	J	drought	3	inv	CA001-7	red	46	Yes	9	56	0.2594879	12.91	15	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	3	46	30	5	29	59	46
87	CA001	12	J	drought	3	inv	CA001-7	red	46	Yes	9	56	0.2594879	12.91	15	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	2	31	17.6	4.9	16	30.8	46
88	CA001	12	L	drought	4	inv	CA001-8	red	NA	No	NA	50	0.2041975	29.1	80	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	12	5.1	1.6	12	NA	117
89	CA001	12	L	drought	4	inv	CA001-8	red	NA	No	NA	50	0.2041975	29.1	80	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	2	32	12.9	4.1	34	24.3	117
90	CA001	12	L	drought	4	inv	CA001-8	red	NA	No	NA	50	0.2041975	29.1	80	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	3	117	29	6.5	NA	52	117
91	CA001	13	E	control	4	inv	CORY1-4	red	NA	NA	NA	NA	NA	NA	NA	NA	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	14	2.2	0.7	4	NA	NA
92	CA001	13	E	control	4	inv	CORY1-4	red	NA	NA	NA	NA	NA	NA	NA	NA	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	2	32	NA	NA	NA	NA	NA
93	CA001	13	E	control	4	inv	CORY1-4	red	NA	NA	NA	NA	NA	NA	NA	NA	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	3	NA	NA	NA	NA	NA	NA
94	CA001	3	J	control	5	inv	CA001-4	red	NA	No	NA	48	0.2148786	24.7	48	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	13	7.5	1.6	3	NA	117
95	CA001	3	J	control	5	inv	CA001-4	red	NA	No	NA	48	0.2148786	24.7	48	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	2	31	13.6	3.9	23	23.6	117
96	CA001	3	J	control	5	inv	CA001-4	red	NA	No	NA	48	0.2148786	24.7	48	0	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	3	117	28.5	4.5	NA	57	117
97	CA001	5	F	drought	1	inv	CORY1-6	red	50	Yes	19	52	0.2123654	16.04	30	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	12	8	1.9	17	NA	53
98	CA001	5	F	drought	1	inv	CORY1-6	red	50	Yes	19	52	0.2123654	16.04	30	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	2	31	19.6	6.5	48	39.2	53
99	CA001	5	F	drought	1	inv	CORY1-6	red	50	Yes	19	52	0.2123654	16.04	30	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	3	53	25	7	96	52	53
100	CA001	6	E	control	3	inv	CA001-9	red	53	Yes	16	62	0.345722075	19.6	56	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178	1	18	10.4	3	25	NA	57
